,Date,SKU,Brand,Manufacturer,Nest,Price,ACV,Sales_Volume
392,2024-01-29,SKU_01,Brand_A,BigFizz,Soda,1.55,0.84,13766
393,2024-01-29,SKU_02,Brand_A,BigFizz,Soda,2.26,0.82,1429
394,2024-01-29,SKU_03,Brand_B,BigFizz,Soda,1.52,0.81,7951
395,2024-01-29,SKU_04,Brand_C,PopCorp,Soda,1.48,0.95,15722
397,2024-01-29,SKU_06,Brand_D,NatureDrink,Juice,2.99,0.79,125
398,2024-01-29,SKU_07,Brand_E,NatureDrink,Juice,3.18,0.56,35
399,2024-02-05,SKU_01,Brand_A,BigFizz,Soda,1.53,0.85,15499
400,2024-02-05,SKU_02,Brand_A,BigFizz,Soda,2.59,0.69,601
401,2024-02-05,SKU_03,Brand_B,BigFizz,Soda,1.3,0.95,14402
402,2024-02-05,SKU_04,Brand_C,PopCorp,Soda,1.55,0.58,8116
403,2024-02-05,SKU_05,Brand_C,PopCorp,Soda,1.64,0.67,7346
404,2024-02-05,SKU_06,Brand_D,NatureDrink,Juice,2.74,0.7,185
405,2024-02-05,SKU_07,Brand_E,NatureDrink,Juice,3.57,0.68,22
406,2024-02-12,SKU_01,Brand_A,BigFizz,Soda,1.6,0.99,12734
408,2024-02-12,SKU_03,Brand_B,BigFizz,Soda,1.3,0.78,17710
409,2024-02-12,SKU_04,Brand_C,PopCorp,Soda,1.71,0.72,7605
411,2024-02-12,SKU_06,Brand_D,NatureDrink,Juice,3.28,0.78,83
412,2024-02-12,SKU_07,Brand_E,NatureDrink,Juice,3.39,0.79,61
413,2024-02-19,SKU_01,Brand_A,BigFizz,Soda,1.59,0.64,12352
414,2024-02-19,SKU_02,Brand_A,BigFizz,Soda,2.69,0.97,968
415,2024-02-19,SKU_03,Brand_B,BigFizz,Soda,1.53,0.74,8953
417,2024-02-19,SKU_05,Brand_C,PopCorp,Soda,1.51,0.88,16794
418,2024-02-19,SKU_06,Brand_D,NatureDrink,Juice,2.93,0.76,370
419,2024-02-19,SKU_07,Brand_E,NatureDrink,Juice,3.76,0.99,42
421,2024-02-26,SKU_02,Brand_A,BigFizz,Soda,2.61,0.85,830
422,2024-02-26,SKU_03,Brand_B,BigFizz,Soda,1.3,0.65,13925
423,2024-02-26,SKU_04,Brand_C,PopCorp,Soda,1.53,0.61,9248
424,2024-02-26,SKU_05,Brand_C,PopCorp,Soda,1.75,0.5,4356
425,2024-02-26,SKU_06,Brand_D,NatureDrink,Juice,2.71,0.87,226
426,2024-02-26,SKU_07,Brand_E,NatureDrink,Juice,3.73,0.87,10
427,2024-03-04,SKU_01,Brand_A,BigFizz,Soda,1.44,0.54,11413
428,2024-03-04,SKU_02,Brand_A,BigFizz,Soda,2.5,0.9,1028
429,2024-03-04,SKU_03,Brand_B,BigFizz,Soda,1.28,0.7,12826
431,2024-03-04,SKU_05,Brand_C,PopCorp,Soda,1.74,0.7,5598
433,2024-03-04,SKU_07,Brand_E,NatureDrink,Juice,3.6,0.99,40
434,2024-03-11,SKU_01,Brand_A,BigFizz,Soda,1.51,0.57,9125
435,2024-03-11,SKU_02,Brand_A,BigFizz,Soda,2.5,0.64,864
436,2024-03-11,SKU_03,Brand_B,BigFizz,Soda,1.3,0.81,13565
437,2024-03-11,SKU_04,Brand_C,PopCorp,Soda,1.53,0.85,12500
439,2024-03-11,SKU_06,Brand_D,NatureDrink,Juice,2.76,0.68,331
442,2024-03-18,SKU_02,Brand_A,BigFizz,Soda,2.6,0.65,817
443,2024-03-18,SKU_03,Brand_B,BigFizz,Soda,1.44,0.52,8038
444,2024-03-18,SKU_04,Brand_C,PopCorp,Soda,1.56,0.98,12832
445,2024-03-18,SKU_05,Brand_C,PopCorp,Soda,1.59,0.6,9787
447,2024-03-18,SKU_07,Brand_E,NatureDrink,Juice,3.75,0.61,19
448,2024-03-25,SKU_01,Brand_A,BigFizz,Soda,1.44,0.68,13905
449,2024-03-25,SKU_02,Brand_A,BigFizz,Soda,2.67,0.51,456
450,2024-03-25,SKU_03,Brand_B,BigFizz,Soda,1.37,0.67,11370
451,2024-03-25,SKU_04,Brand_C,PopCorp,Soda,1.57,0.77,9340
453,2024-03-25,SKU_06,Brand_D,NatureDrink,Juice,3.01,0.84,160
454,2024-03-25,SKU_07,Brand_E,NatureDrink,Juice,3.37,0.89,67
455,2024-04-01,SKU_01,Brand_A,BigFizz,Soda,1.44,0.53,10318
456,2024-04-01,SKU_02,Brand_A,BigFizz,Soda,2.36,0.62,1315
457,2024-04-01,SKU_03,Brand_B,BigFizz,Soda,1.39,0.53,7840
458,2024-04-01,SKU_04,Brand_C,PopCorp,Soda,1.75,0.97,9187
459,2024-04-01,SKU_05,Brand_C,PopCorp,Soda,1.46,0.68,12656
460,2024-04-01,SKU_06,Brand_D,NatureDrink,Juice,2.84,0.6,98
461,2024-04-01,SKU_07,Brand_E,NatureDrink,Juice,3.7,0.79,2
462,2024-04-08,SKU_01,Brand_A,BigFizz,Soda,1.39,0.98,18366
463,2024-04-08,SKU_02,Brand_A,BigFizz,Soda,2.5,0.84,949
464,2024-04-08,SKU_03,Brand_B,BigFizz,Soda,1.28,0.64,10816
465,2024-04-08,SKU_04,Brand_C,PopCorp,Soda,1.61,0.72,9133
466,2024-04-08,SKU_05,Brand_C,PopCorp,Soda,1.45,0.58,8541
467,2024-04-08,SKU_06,Brand_D,NatureDrink,Juice,2.73,0.92,548
468,2024-04-08,SKU_07,Brand_E,NatureDrink,Juice,3.84,0.9,31
469,2024-04-15,SKU_01,Brand_A,BigFizz,Soda,1.42,0.82,16044
470,2024-04-15,SKU_02,Brand_A,BigFizz,Soda,2.58,0.58,604
471,2024-04-15,SKU_03,Brand_B,BigFizz,Soda,1.4,0.51,6859
472,2024-04-15,SKU_04,Brand_C,PopCorp,Soda,1.44,0.68,10381
473,2024-04-15,SKU_05,Brand_C,PopCorp,Soda,1.54,0.92,13403
474,2024-04-15,SKU_06,Brand_D,NatureDrink,Juice,3.14,0.55,84
476,2024-04-22,SKU_01,Brand_A,BigFizz,Soda,1.55,0.62,10178
477,2024-04-22,SKU_02,Brand_A,BigFizz,Soda,2.36,0.52,830
479,2024-04-22,SKU_04,Brand_C,PopCorp,Soda,1.74,0.79,7694
480,2024-04-22,SKU_05,Brand_C,PopCorp,Soda,1.58,0.79,12566
481,2024-04-22,SKU_06,Brand_D,NatureDrink,Juice,2.87,0.68,328
482,2024-04-22,SKU_07,Brand_E,NatureDrink,Juice,3.78,0.97,44
484,2024-04-29,SKU_02,Brand_A,BigFizz,Soda,2.33,0.94,1627
485,2024-04-29,SKU_03,Brand_B,BigFizz,Soda,1.38,0.52,9053
486,2024-04-29,SKU_04,Brand_C,PopCorp,Soda,1.48,0.88,15895
488,2024-04-29,SKU_06,Brand_D,NatureDrink,Juice,2.88,0.65,219
490,2024-05-06,SKU_01,Brand_A,BigFizz,Soda,1.58,0.79,12500
491,2024-05-06,SKU_02,Brand_A,BigFizz,Soda,2.4,0.86,1208
492,2024-05-06,SKU_03,Brand_B,BigFizz,Soda,1.47,0.55,8080
493,2024-05-06,SKU_04,Brand_C,PopCorp,Soda,1.56,0.97,19134
494,2024-05-06,SKU_05,Brand_C,PopCorp,Soda,1.7,0.85,8221
495,2024-05-06,SKU_06,Brand_D,NatureDrink,Juice,3.25,0.85,148
497,2024-05-13,SKU_01,Brand_A,BigFizz,Soda,1.56,0.91,13515
498,2024-05-13,SKU_02,Brand_A,BigFizz,Soda,2.52,0.98,1135
499,2024-05-13,SKU_03,Brand_B,BigFizz,Soda,1.46,0.93,10665
500,2024-05-13,SKU_04,Brand_C,PopCorp,Soda,1.5,0.9,11873
501,2024-05-13,SKU_05,Brand_C,PopCorp,Soda,1.48,0.93,17788
503,2024-05-13,SKU_07,Brand_E,NatureDrink,Juice,3.62,0.9,26
504,2024-05-20,SKU_01,Brand_A,BigFizz,Soda,1.37,0.89,17005
505,2024-05-20,SKU_02,Brand_A,BigFizz,Soda,2.59,0.67,461
506,2024-05-20,SKU_03,Brand_B,BigFizz,Soda,1.28,0.69,10829
508,2024-05-20,SKU_05,Brand_C,PopCorp,Soda,1.5,0.71,8987
509,2024-05-20,SKU_06,Brand_D,NatureDrink,Juice,2.87,0.64,208
510,2024-05-20,SKU_07,Brand_E,NatureDrink,Juice,3.45,0.99,66
512,2024-05-27,SKU_02,Brand_A,BigFizz,Soda,2.57,0.63,724
513,2024-05-27,SKU_03,Brand_B,BigFizz,Soda,1.46,0.81,9207
514,2024-05-27,SKU_04,Brand_C,PopCorp,Soda,1.54,0.64,10992
515,2024-05-27,SKU_05,Brand_C,PopCorp,Soda,1.74,0.55,5304
516,2024-05-27,SKU_06,Brand_D,NatureDrink,Juice,2.79,0.97,343
517,2024-05-27,SKU_07,Brand_E,NatureDrink,Juice,3.29,0.79,55
518,2024-06-03,SKU_01,Brand_A,BigFizz,Soda,1.43,0.72,16054
519,2024-06-03,SKU_02,Brand_A,BigFizz,Soda,2.57,0.62,674
520,2024-06-03,SKU_03,Brand_B,BigFizz,Soda,1.46,0.55,5848
521,2024-06-03,SKU_04,Brand_C,PopCorp,Soda,1.68,0.51,4531
522,2024-06-03,SKU_05,Brand_C,PopCorp,Soda,1.52,0.61,7476
523,2024-06-03,SKU_06,Brand_D,NatureDrink,Juice,2.74,0.73,251
525,2024-06-10,SKU_01,Brand_A,BigFizz,Soda,1.62,0.83,9889
526,2024-06-10,SKU_02,Brand_A,BigFizz,Soda,2.64,0.73,564
527,2024-06-10,SKU_03,Brand_B,BigFizz,Soda,1.46,0.71,9232
529,2024-06-10,SKU_05,Brand_C,PopCorp,Soda,1.58,0.51,7582
530,2024-06-10,SKU_06,Brand_D,NatureDrink,Juice,2.88,0.75,172
532,2024-06-17,SKU_01,Brand_A,BigFizz,Soda,1.44,0.96,16595
533,2024-06-17,SKU_02,Brand_A,BigFizz,Soda,2.43,0.75,917
534,2024-06-17,SKU_03,Brand_B,BigFizz,Soda,1.52,0.94,7951
537,2024-06-17,SKU_06,Brand_D,NatureDrink,Juice,3.22,0.87,70
539,2024-06-24,SKU_01,Brand_A,BigFizz,Soda,1.51,0.8,12422
541,2024-06-24,SKU_03,Brand_B,BigFizz,Soda,1.32,0.98,14396
543,2024-06-24,SKU_05,Brand_C,PopCorp,Soda,1.61,0.85,7914
544,2024-06-24,SKU_06,Brand_D,NatureDrink,Juice,3.12,0.59,59
545,2024-06-24,SKU_07,Brand_E,NatureDrink,Juice,3.76,0.82,19
546,2024-07-01,SKU_01,Brand_A,BigFizz,Soda,1.54,0.84,13535
547,2024-07-01,SKU_02,Brand_A,BigFizz,Soda,2.67,0.91,816
548,2024-07-01,SKU_03,Brand_B,BigFizz,Soda,1.5,0.74,8417
549,2024-07-01,SKU_04,Brand_C,PopCorp,Soda,1.58,0.59,6911
550,2024-07-01,SKU_05,Brand_C,PopCorp,Soda,1.71,0.94,7851
551,2024-07-01,SKU_06,Brand_D,NatureDrink,Juice,2.93,0.9,82
552,2024-07-01,SKU_07,Brand_E,NatureDrink,Juice,3.78,0.6,6
553,2024-07-08,SKU_01,Brand_A,BigFizz,Soda,1.35,0.9,18832
554,2024-07-08,SKU_02,Brand_A,BigFizz,Soda,2.64,0.77,492
555,2024-07-08,SKU_03,Brand_B,BigFizz,Soda,1.47,0.9,7022
556,2024-07-08,SKU_04,Brand_C,PopCorp,Soda,1.61,0.57,5109
557,2024-07-08,SKU_05,Brand_C,PopCorp,Soda,1.68,0.58,4461
558,2024-07-08,SKU_06,Brand_D,NatureDrink,Juice,2.82,0.95,271
559,2024-07-08,SKU_07,Brand_E,NatureDrink,Juice,3.68,0.8,21
560,2024-07-15,SKU_01,Brand_A,BigFizz,Soda,1.37,0.85,14897
561,2024-07-15,SKU_02,Brand_A,BigFizz,Soda,2.58,0.9,554
562,2024-07-15,SKU_03,Brand_B,BigFizz,Soda,1.34,0.85,8816
563,2024-07-15,SKU_04,Brand_C,PopCorp,Soda,1.64,0.66,4711
565,2024-07-15,SKU_06,Brand_D,NatureDrink,Juice,3.06,0.63,94
566,2024-07-15,SKU_07,Brand_E,NatureDrink,Juice,3.61,0.91,30
567,2024-07-22,SKU_01,Brand_A,BigFizz,Soda,1.65,0.91,8447
568,2024-07-22,SKU_02,Brand_A,BigFizz,Soda,2.67,0.62,358
569,2024-07-22,SKU_03,Brand_B,BigFizz,Soda,1.29,1.0,14409
570,2024-07-22,SKU_04,Brand_C,PopCorp,Soda,1.54,0.87,10264
571,2024-07-22,SKU_05,Brand_C,PopCorp,Soda,1.76,0.62,4199
572,2024-07-22,SKU_06,Brand_D,NatureDrink,Juice,2.72,0.71,229
573,2024-07-22,SKU_07,Brand_E,NatureDrink,Juice,3.55,0.66,17
574,2024-07-29,SKU_01,Brand_A,BigFizz,Soda,1.63,0.67,5255
575,2024-07-29,SKU_02,Brand_A,BigFizz,Soda,2.75,0.99,468
576,2024-07-29,SKU_03,Brand_B,BigFizz,Soda,1.44,0.9,8740
577,2024-07-29,SKU_04,Brand_C,PopCorp,Soda,1.46,0.73,10993
578,2024-07-29,SKU_05,Brand_C,PopCorp,Soda,1.66,0.84,6793
579,2024-07-29,SKU_06,Brand_D,NatureDrink,Juice,2.8,0.75,158
580,2024-07-29,SKU_07,Brand_E,NatureDrink,Juice,3.63,0.85,16
581,2024-08-05,SKU_01,Brand_A,BigFizz,Soda,1.52,0.64,6741
582,2024-08-05,SKU_02,Brand_A,BigFizz,Soda,2.71,0.79,298
583,2024-08-05,SKU_03,Brand_B,BigFizz,Soda,1.27,0.52,6959
584,2024-08-05,SKU_04,Brand_C,PopCorp,Soda,1.58,0.54,5067
585,2024-08-05,SKU_05,Brand_C,PopCorp,Soda,1.72,0.83,5201
586,2024-08-05,SKU_06,Brand_D,NatureDrink,Juice,2.83,0.93,110
587,2024-08-05,SKU_07,Brand_E,NatureDrink,Juice,3.67,0.64,5
588,2024-08-12,SKU_01,Brand_A,BigFizz,Soda,1.59,0.66,5692
589,2024-08-12,SKU_02,Brand_A,BigFizz,Soda,2.31,0.63,750
590,2024-08-12,SKU_03,Brand_B,BigFizz,Soda,1.36,0.84,8271
592,2024-08-12,SKU_05,Brand_C,PopCorp,Soda,1.49,0.54,4904
593,2024-08-12,SKU_06,Brand_D,NatureDrink,Juice,3.04,0.9,137
594,2024-08-12,SKU_07,Brand_E,NatureDrink,Juice,3.25,0.79,53
595,2024-08-19,SKU_01,Brand_A,BigFizz,Soda,1.51,0.92,11695
596,2024-08-19,SKU_02,Brand_A,BigFizz,Soda,2.74,0.94,378
597,2024-08-19,SKU_03,Brand_B,BigFizz,Soda,1.4,0.87,7864
598,2024-08-19,SKU_04,Brand_C,PopCorp,Soda,1.6,0.74,6080
599,2024-08-19,SKU_05,Brand_C,PopCorp,Soda,1.72,0.7,4955
600,2024-08-19,SKU_06,Brand_D,NatureDrink,Juice,2.9,0.73,107
601,2024-08-19,SKU_07,Brand_E,NatureDrink,Juice,3.29,0.98,43
602,2024-08-26,SKU_01,Brand_A,BigFizz,Soda,1.44,0.96,12650
603,2024-08-26,SKU_02,Brand_A,BigFizz,Soda,2.32,0.69,819
604,2024-08-26,SKU_03,Brand_B,BigFizz,Soda,1.48,0.68,4895
605,2024-08-26,SKU_04,Brand_C,PopCorp,Soda,1.71,0.9,4968
606,2024-08-26,SKU_05,Brand_C,PopCorp,Soda,1.5,0.84,7739
607,2024-08-26,SKU_06,Brand_D,NatureDrink,Juice,3.22,0.62,28
608,2024-08-26,SKU_07,Brand_E,NatureDrink,Juice,3.33,0.5,25
609,2024-09-02,SKU_01,Brand_A,BigFizz,Soda,1.4,0.74,8391
610,2024-09-02,SKU_02,Brand_A,BigFizz,Soda,2.46,0.8,606
611,2024-09-02,SKU_03,Brand_B,BigFizz,Soda,1.31,0.52,4367
612,2024-09-02,SKU_04,Brand_C,PopCorp,Soda,1.51,0.67,6812
613,2024-09-02,SKU_05,Brand_C,PopCorp,Soda,1.73,0.75,3542
614,2024-09-02,SKU_06,Brand_D,NatureDrink,Juice,3.0,0.53,63
615,2024-09-02,SKU_07,Brand_E,NatureDrink,Juice,3.46,0.92,21
617,2024-09-09,SKU_02,Brand_A,BigFizz,Soda,2.26,0.91,1270
620,2024-09-09,SKU_05,Brand_C,PopCorp,Soda,1.65,0.97,6795
621,2024-09-09,SKU_06,Brand_D,NatureDrink,Juice,3.11,0.66,29
622,2024-09-09,SKU_07,Brand_E,NatureDrink,Juice,3.74,0.97,7
623,2024-09-16,SKU_01,Brand_A,BigFizz,Soda,1.64,0.72,5801
624,2024-09-16,SKU_02,Brand_A,BigFizz,Soda,2.5,0.62,571
625,2024-09-16,SKU_03,Brand_B,BigFizz,Soda,1.47,0.88,5946
626,2024-09-16,SKU_04,Brand_C,PopCorp,Soda,1.62,0.95,7283
627,2024-09-16,SKU_05,Brand_C,PopCorp,Soda,1.46,0.5,5909
628,2024-09-16,SKU_06,Brand_D,NatureDrink,Juice,2.83,0.83,95
629,2024-09-16,SKU_07,Brand_E,NatureDrink,Juice,3.77,0.95,6
630,2024-09-23,SKU_01,Brand_A,BigFizz,Soda,1.45,0.87,11019
631,2024-09-23,SKU_02,Brand_A,BigFizz,Soda,2.66,0.78,358
632,2024-09-23,SKU_03,Brand_B,BigFizz,Soda,1.44,0.95,5954
633,2024-09-23,SKU_04,Brand_C,PopCorp,Soda,1.44,0.91,9173
635,2024-09-23,SKU_06,Brand_D,NatureDrink,Juice,2.77,0.99,221
637,2024-09-30,SKU_01,Brand_A,BigFizz,Soda,1.46,0.91,11390
638,2024-09-30,SKU_02,Brand_A,BigFizz,Soda,2.66,0.74,418
639,2024-09-30,SKU_03,Brand_B,BigFizz,Soda,1.49,0.66,4642
640,2024-09-30,SKU_04,Brand_C,PopCorp,Soda,1.51,0.54,5312
641,2024-09-30,SKU_05,Brand_C,PopCorp,Soda,1.71,0.61,3131
642,2024-09-30,SKU_06,Brand_D,NatureDrink,Juice,2.93,0.9,146
643,2024-09-30,SKU_07,Brand_E,NatureDrink,Juice,3.47,0.65,23
644,2024-10-07,SKU_01,Brand_A,BigFizz,Soda,1.55,0.54,5595
646,2024-10-07,SKU_03,Brand_B,BigFizz,Soda,1.49,0.81,4872
647,2024-10-07,SKU_04,Brand_C,PopCorp,Soda,1.47,0.68,7062
648,2024-10-07,SKU_05,Brand_C,PopCorp,Soda,1.57,0.84,6810
649,2024-10-07,SKU_06,Brand_D,NatureDrink,Juice,2.94,0.59,89
650,2024-10-07,SKU_07,Brand_E,NatureDrink,Juice,3.26,0.91,44
651,2024-10-14,SKU_01,Brand_A,BigFizz,Soda,1.55,0.71,8549
652,2024-10-14,SKU_02,Brand_A,BigFizz,Soda,2.62,0.91,545
653,2024-10-14,SKU_03,Brand_B,BigFizz,Soda,1.41,0.92,8035
654,2024-10-14,SKU_04,Brand_C,PopCorp,Soda,1.58,0.69,5840
655,2024-10-14,SKU_05,Brand_C,PopCorp,Soda,1.71,0.74,4721
657,2024-10-14,SKU_07,Brand_E,NatureDrink,Juice,3.18,0.64,65
658,2024-10-21,SKU_01,Brand_A,BigFizz,Soda,1.44,0.77,9029
659,2024-10-21,SKU_02,Brand_A,BigFizz,Soda,2.34,0.71,707
660,2024-10-21,SKU_03,Brand_B,BigFizz,Soda,1.47,0.95,6792
661,2024-10-21,SKU_04,Brand_C,PopCorp,Soda,1.47,0.51,5089
662,2024-10-21,SKU_05,Brand_C,PopCorp,Soda,1.65,0.8,5290
663,2024-10-21,SKU_06,Brand_D,NatureDrink,Juice,2.71,0.92,293
664,2024-10-21,SKU_07,Brand_E,NatureDrink,Juice,3.83,0.57,9
665,2024-10-28,SKU_01,Brand_A,BigFizz,Soda,1.6,0.9,7792
666,2024-10-28,SKU_02,Brand_A,BigFizz,Soda,2.36,0.61,678
668,2024-10-28,SKU_04,Brand_C,PopCorp,Soda,1.47,0.61,5366
670,2024-10-28,SKU_06,Brand_D,NatureDrink,Juice,3.02,0.58,78
671,2024-10-28,SKU_07,Brand_E,NatureDrink,Juice,3.68,0.58,11
672,2024-11-04,SKU_01,Brand_A,BigFizz,Soda,1.55,0.91,9894
673,2024-11-04,SKU_02,Brand_A,BigFizz,Soda,2.62,0.68,464
674,2024-11-04,SKU_03,Brand_B,BigFizz,Soda,1.45,0.64,6631
675,2024-11-04,SKU_04,Brand_C,PopCorp,Soda,1.72,0.64,5417
676,2024-11-04,SKU_05,Brand_C,PopCorp,Soda,1.59,0.81,6901
677,2024-11-04,SKU_06,Brand_D,NatureDrink,Juice,2.9,0.78,122
678,2024-11-04,SKU_07,Brand_E,NatureDrink,Juice,3.75,0.6,8
679,2024-11-11,SKU_01,Brand_A,BigFizz,Soda,1.55,0.79,10796
680,2024-11-11,SKU_02,Brand_A,BigFizz,Soda,2.46,0.64,601
681,2024-11-11,SKU_03,Brand_B,BigFizz,Soda,1.45,0.62,6144
682,2024-11-11,SKU_04,Brand_C,PopCorp,Soda,1.64,0.87,7590
683,2024-11-11,SKU_05,Brand_C,PopCorp,Soda,1.71,0.52,3542
684,2024-11-11,SKU_06,Brand_D,NatureDrink,Juice,3.14,0.67,106
685,2024-11-11,SKU_07,Brand_E,NatureDrink,Juice,3.38,0.73,43
686,2024-11-18,SKU_01,Brand_A,BigFizz,Soda,1.63,0.7,7327
687,2024-11-18,SKU_02,Brand_A,BigFizz,Soda,2.4,0.76,827
688,2024-11-18,SKU_03,Brand_B,BigFizz,Soda,1.46,0.95,9205
689,2024-11-18,SKU_04,Brand_C,PopCorp,Soda,1.66,0.97,9176
690,2024-11-18,SKU_05,Brand_C,PopCorp,Soda,1.53,0.5,5189
691,2024-11-18,SKU_06,Brand_D,NatureDrink,Juice,3.1,0.82,158
692,2024-11-18,SKU_07,Brand_E,NatureDrink,Juice,3.57,0.51,16
694,2024-11-25,SKU_02,Brand_A,BigFizz,Soda,2.52,0.93,659
695,2024-11-25,SKU_03,Brand_B,BigFizz,Soda,1.4,0.54,4966
696,2024-11-25,SKU_04,Brand_C,PopCorp,Soda,1.62,0.69,4473
697,2024-11-25,SKU_05,Brand_C,PopCorp,Soda,1.52,0.55,6070
698,2024-11-25,SKU_06,Brand_D,NatureDrink,Juice,2.89,0.55,54
699,2024-11-25,SKU_07,Brand_E,NatureDrink,Juice,3.76,1.0,8
700,2024-12-02,SKU_01,Brand_A,BigFizz,Soda,1.54,0.92,10776
701,2024-12-02,SKU_02,Brand_A,BigFizz,Soda,2.73,0.55,286
702,2024-12-02,SKU_03,Brand_B,BigFizz,Soda,1.39,0.79,7760
703,2024-12-02,SKU_04,Brand_C,PopCorp,Soda,1.46,0.55,7408
704,2024-12-02,SKU_05,Brand_C,PopCorp,Soda,1.63,0.77,7062
706,2024-12-02,SKU_07,Brand_E,NatureDrink,Juice,3.5,0.84,27
707,2024-12-09,SKU_01,Brand_A,BigFizz,Soda,1.58,0.85,12105
708,2024-12-09,SKU_02,Brand_A,BigFizz,Soda,2.42,0.84,1396
710,2024-12-09,SKU_04,Brand_C,PopCorp,Soda,1.74,0.63,5631
711,2024-12-09,SKU_05,Brand_C,PopCorp,Soda,1.75,0.69,5348
712,2024-12-09,SKU_06,Brand_D,NatureDrink,Juice,2.74,0.67,275
714,2024-12-16,SKU_01,Brand_A,BigFizz,Soda,1.52,0.7,10012
715,2024-12-16,SKU_02,Brand_A,BigFizz,Soda,2.45,0.58,712
716,2024-12-16,SKU_03,Brand_B,BigFizz,Soda,1.47,0.6,6703
717,2024-12-16,SKU_04,Brand_C,PopCorp,Soda,1.63,0.94,9517
718,2024-12-16,SKU_05,Brand_C,PopCorp,Soda,1.62,0.67,7416
719,2024-12-16,SKU_06,Brand_D,NatureDrink,Juice,2.75,0.78,166
722,2024-12-23,SKU_02,Brand_A,BigFizz,Soda,2.59,0.74,599
723,2024-12-23,SKU_03,Brand_B,BigFizz,Soda,1.38,0.82,10058
724,2024-12-23,SKU_04,Brand_C,PopCorp,Soda,1.56,0.53,6921
725,2024-12-23,SKU_05,Brand_C,PopCorp,Soda,1.56,0.61,7509
726,2024-12-23,SKU_06,Brand_D,NatureDrink,Juice,2.97,0.52,104
